label,type,uid
Le Bus Magique,youtube,UUmXqN_mnZFXNBsFm5zCs7BA
RisingSun,youtube,UUmsmuON1J8oeqXeLXdMj4hw
Historien Atis,youtube,UU5r2e4w4t33hZegluRdPvEw
Baderas,youtube,UUxtwAoh3sXq4tP6pM8LikAg
Nico Le Ch'ti,youtube,UU8gLMM6kmmBy6CEwRyxLQjQ
Uncle Skarzi,twitch,uncleskarzi
Le Bus Magique,twitch,lebusmagique
Guild Wars 2,twitch,guildwars2
Guild Wars 2,youtube,UUP_FgMqOxp_VsM0UfrL-DxA
RetroloveTV,twitch,RetroloveTV
Myphelys,twitch,myphelys
FallinBlood,twitch,fallinblood
KerHara,twitch,kerhara
Le Bus Magique,rss,https://www.lebusmagique.fr/blog/do/rss.xml
Le Bus Magique,rss,https://www.lebusmagique.fr/pages/do/rss.xml
Guild Wars 2,rss,https://www.guildwars2.com/fr/feed/
Quiggiz,twitch,quiggizz